Sample	Ia 1022	Ib 1020	Ic 1018	IIa5 1036	IIa6 1036'	IIb5 1034	IIb6 1034'	IIc5 1032	IIc6 1032'	IIIa5 1050	IIIa6 1050'	IIIb5 1050	IIIb6 1050'	IIIc5 1050	IIIc6 1050'
4765	0.453008728892514	0.0883905329702626	0.0339339195246492	0.159465230377985	0.125617280248232	0.0464514632790727	0.033032240522374	0.00748733450891483	0	0.0278920704229294	0.0247211992530659	0	0	0	0
4781	0.452712873333678	0.090845292290869	0.0351275798092679	0.162025607643953	0.122293919476445	0.0480364194639431	0.0339940556660371	0.00798967826250752	0	0.0271345676522215	0.0198400064010775	0	0	0	0
4795	0.457390643240307	0.0722696608434671	0.017397680908527	0.220901874613924	0.10942161411746	0.0358112004232875	0.0212234498187287	0.00425342283671968	0	0.0453030627983464	0.0160273903992336	0	0	0	0
4803	0.454711551762629	0.0935106165879822	0.0243435767006195	0.161843559580404	0.127426448130541	0.0537204967327781	0.0298357418052377	0.00953801441111253	0	0.0290934092649127	0.0159765850237834	0	0	0	0
4811	0.468409171956997	0.0827240478160154	0.0207401453837609	0.166189677113371	0.131872375576928	0.0450530360490663	0.0218787656077559	0.00659579102728646	0	0.0374055147353869	0.0191314747334319	0	0	0	0
4823	0.435592953168747	0.0779907873765541	0.0119411312861393	0.198341627696919	0.138062997130125	0.0394614043120682	0.0235319727074154	0.00392324648646755	0	0.0507732648766855	0.0203806149588785	0	0	0	0
4827	0.423308882325772	0.0763957458901576	0.00735688410020775	0.209481134958598	0.152148920309795	0.0353589168882086	0.0218479025925294	0.00277696736511985	0	0.047694115185859	0.0236305303837533	0	0	0	0
4831	0.455807742039148	0.0754079145425855	0.0122980701746408	0.219095660583571	0.134206878309284	0.0379579564557668	0.028429529011046	0.00433058661779575	0	0.011586569288628	0.0208790929775336	0	0	0	0
4831	0.432215417536414	0.07803271192775	0.00924877763245384	0.211571639348422	0.128163392607925	0.0376400761640854	0.0276349790139811	0.00385870768891174	0	0.0507667774210785	0.0208675206589785	0	0	0	0
4847	0.516411938038414	0.0567466480951871	0.00759055928075787	0.149858841062098	0.163180590908828	0.0208006789012802	0.0249989525413124	0.00188883080366508	0	0.0291904158492417	0.029332544519215	0	0	0	0
4890	0.402812525219918	0.0639969101997994	0.00696646183289715	0.144583049909497	0.229187659245766	0.0274271648777338	0.0491814335289438	0.00321027935021963	0	0.0269781062291756	0.0456564096060505	0	0	0	0
4900.4	0.39265941438677	0.082247711731702	0.0131301064254967	0.160782652185403	0.194142994109798	0.0303650090962896	0.0551848850897289	0.00245261302658563	0	0.0248438998075911	0.0441907141406354	0	0	0	0
4905.2	0.379684208599054	0.0855520929094129	0.00829926898978744	0.130146992219646	0.226013305812042	0.0244658595296326	0.0700024668944689	0.00215708721435578	0	0.0215477450079114	0.0521309728236883	0	0	0	0
4912.4	0.371226666060344	0.0928801073190696	0.00754325731565903	0.142948091221209	0.204085400513858	0.0226024874377572	0.087216752688661	0.00212546326822946	0	0.0232573156590346	0.0461144585161774	0	0	0	0
4919.6	0.44297852140138	0.0701654433421309	0.00976882615172344	0.15107496765259	0.191923962273326	0.030548285287163	0.0433704546014101	0.00311438560879565	0	0.030617873675913	0.0264372800055671	0	0	0	0
4926.8	0.428446781840572	0.0783263138861247	0.0222558031249977	0.186700494423876	0.152111620832894	0.0447425837030237	0.0298141977240402	0.00589677607836987	0	0.0326084376748694	0.0190969907112319	0	0	0	0
4934	0.48347476863005	0.0791267124718359	0.0262604544682321	0.143537098566523	0.154591053788117	0.0391581280966532	0.0251937714624697	0.00674544710171366	0	0.0235951394903873	0.0183174259240176	0	0	0	0
4938.8	0.479390339381149	0.0767590291724819	0.0240749565986997	0.146873404363958	0.153170847942268	0.0399257922864826	0.0257956905061783	0.00570514347959288	0	0.0262433196037717	0.0220614766654185	0	0	0	0
4954	0.439575593495256	0.0694662269742923	0.0184563458224255	0.153971841400655	0.180839391030037	0.0433545228483002	0.0278499997018361	0.00615857549211953	0	0.0347360951262128	0.0255914081088656	0	0	0	0
