Sample	Ia	Ib	Ic	IIa	IIa'	IIb'	IIb	IIc	IIc'	IIIa	IIIa'	IIIb	IIIb'	IIIc	IIIc'
105	0.385820256946922	0.00968703364476041	0.00505819739948176	0.372802194557832	0.0538414667962526	0.000628740314366762	0.00770650650439955	0.00282537875068708	0.000185338715778508	0.131656931756481	0.0297879546130389	0	0	0	0
113	0.392406195014462	0.0138980936218145	0.00680054341093962	0.341093962206544	0.0779766518190298	0.00212405477332502	0.00885252588571381	0.00419519570720766	0.000349109699309505	0.114175800048129	0.0381278678135251	0	0	0	0
121	0.435274413828012	0.011015796429657	0.00502899681464055	0.353098924400758	0.0509236478185709	0.00218971013827613	0.0075937133548972	0.00312862293897798	0.000490940449276027	0.103624751486756	0.0276304823401783	0	0	0	0
129	0.381345706573336	0.0133151799089134	0.00748194637003154	0.355417592921915	0.0653306668106251	0.00256027481989019	0.0105715152479001	0.0031599393982995	0.000726600876028804	0.125927316792258	0.0341632602808019	0	0	0	0
136.5	0.420782180837899	0.0114681177326834	0.00520200449768415	0.349275500550933	0.0570679485289671	0.000973228692498478	0.00721771950137588	0.00403340566053164	0.000238175962864745	0.10991634096744	0.0338253770671231	0	0	0	0
144.5	0.384348660818603	0.014304137221096	0.0097411315940711	0.343997019129358	0.072748905856274	0.00149877165394113	0.00928162280618657	0.00422828922023708	0.00093644809053763	0.119420498537984	0.0394945150717114	0	0	0	0
152.5	0.380994265102774	0.0115737966759908	0.00928738408276055	0.378516740604018	0.042836739803186	0.000628248505347043	0.00800003773148676	0.00219155448046486	0.000145487607757324	0.123343508321766	0.0424822370844495	0	0	0	0
160.5	0.449288250986013	0.0126793168291551	0.00610315973029856	0.324988608646707	0.0750364685120258	0.00245211793699791	0.0070245088150528	0.00286470441357164	0.000484614847785713	0.0917561786525998	0.0273220706297927	0	0	0	0
168.5	0.376551111282413	0.0106039065949956	0.00829006879261661	0.394507380128305	0.0504061641146198	0.000629997810412118	0.0063523405705531	0.00166849893037301	0.000175407923265278	0.117079115122496	0.0337360087299515	0	0	0	0
176.5	0.432842811230639	0.01588604204794	0.00598736776324599	0.320190264696692	0.0807506807124046	0.00202110208454225	0.0102236865598357	0.00305126545551935	0.000216321474802482	0.0866000647234745	0.0422303932509039	0	0	0	0
184.5	0.374958347640402	0.00416333268849852	0.00530246494125529	0.356158273305459	0.0979757197244688	0.0032475175974509	0.0101378963952823	0.00233741232019699	0.000147527923917561	0.107419068513666	0.0381524389494021	0	0	0	0
192.5	0.395148853445502	0.0226434352327513	0.0107102008946205	0.325031942553778	0.0808072192461328	0.00408355210357173	0.0157500260463476	0.00460247549067312	0.000260320364351194	0.102693306832844	0.0382686677894264	0	0	0	0
