Sample	Ia 1022	Ib 1020	Ic 1018	IIa5 1036	IIa6 1036'	IIb5 1034	IIb6 1034'	IIc5 1032	IIc6 1032'	IIIa5 1050	IIIa6 1050'	IIIb5 1050	IIIb6 1050'	IIIc5 1050	IIIc6 1050'
127.5	0.762866712827317	0.00715488845885367	0.00662831447237235	0.202107348871449	0.00386208633188479	0.00196607889200202	0.000572917539470248	4.35258649671954e-05	0.00217829528984889	0.0110035536977929	0.00161627775404164	0	0	0	0
152.5	0.737839449836932	0.00641469969173862	0.00566621242296581	0.230101508689681	0.00168840496365991	0.00153443450932244	0.000626920402189058	0.00199705803909867	0	0.0119902532856704	0.00214105815874268	0	0	0	0
177.5	0.72610534154969	0.00687130395592828	0.0063556654610153	0.230497490906826	0.00224378928268511	0.00254183849047566	0.000655039985372868	0.00280393467723677	0	0.0186034830859079	0.00332211260486186	0	0	0	0
202.5	0.717666559651709	0.00752859138766744	0.00649350123175242	0.237060765318467	0.00677824421029363	0.00226076525364247	0.000843370779925118	0.00244778483089719	0	0.0150447039993829	0.00387571333626233	0	0	0	0
227.5	0.759914304069816	0.01846266436087	0.0107150150704172	0.189153684087028	0.00687743819651047	0.00247433561407032	0.000596633024274781	0	0	0.0101914823482614	0.0016144432287519	0	0	0	0
251	0.747644587221605	0.00856252591979985	0.00536379932728011	0.215064937698336	0.00483731659403088	0.0021264495172822	0.00060372916820556	0.00178680659858359	0	0.0123543602957187	0.00165548765915783	0	0	0	0
252.5	0.737498120728751	0.0157568061796033	0.00836855777811978	0.209590105918622	0.00642320279821185	0.00393058333388039	0.000970381456248706	0.00291111203024323	0	0.0138136178793891	0.000737511896930982	0	0	0	0
277.5	0.761170883145068	0.0123780115927321	0.00751417195465108	0.195609294339943	0.00511369012886114	0.00218352168757896	0.000533105245888343	0.00175161237021354	0	0.0115023953315362	0.00224331420352671	0	0	0	0
302.5	0.759727239685072	0.0145230224273629	0.00859072821229626	0.195472840591624	0.00518073656794933	0.00229759122360145	0.000499168885025702	0.00178562001006385	0	0.011196063027936	0.000726989369068331	0	0	0	0
327.5	0.774564138715589	0.0171765216311242	0.00962407954358988	0.173664866860978	0.00635561972530887	0.00281667785070828	0.00085446820261738	0.00232865614654783	0	0.0120638843794487	0.000551086944088261	0	0	0	0
