Sample	fIa	fIb	fIc	fIIa	fIIa'	fIIb	fIIb'	fIIc	fIIc'	fIIIa	fIIIa'	fIIIb	fIIIb'	fIIIc	fIIIc'
GRU43a	0.954526559	0.007799087	0.00264987	0.024793523	0.007624885	0	0	0	0	0.002606075	0	0	0	0	0
Vequaud_2021 46	0.093102308	0.110377831	0.018096486	0.075932282	0.151358611	0.090158322	0.188370475	0.01246885	0.012173963	0.064060974	0.134286239	0.033168125	0.008561931	0.002399193	0.005484409
Naafs_2017_peats 220 Borralleiras da Cal Grande BCG 5	0.578914042	0.040743331	0.013260548	0.315467492	0	0.010057522	0	0.005977538	0	0.035219729	0	0.000134282	0	0.000225516	0
Guo_2020 S6.5	0.3	0.07	0.03	0.34	0.09	0.05	0.01	0	0	0.09	0.02	0	0	0	0
GRU46c	0.937084636	0.001843922	0.001693462	0.050775303	0.006080273	0	0	0	0	0.002522405	0	0	0	0	0
Chen_2021 TW-6	0.15525067	0.061010602	0.004780284	0.118363249	0.213937565	0.021413779	0.0933112	0.000930405	0.00236	0.130780855	0.175945653	0.00402335	0.016598739	0.000746477	0.000547171
GRU8b	0.957858336	0.006534142	0.004156917	0.022414218	0.009036386	0	0	0	0	0	0	0	0	0	0
Vequaud_2021 41	0.086186249	0.129872372	0.020705261	0.053777373	0.162462901	0.086607088	0.201392775	0.013084296	0.043950985	0.041791999	0.096352742	0.030049717	0.026818372	0.006921112	2.68E-05
Naafs_2017_peats 73 Bissendorfer Moor 4	0.511829075	0.024001373	0.014221657	0.38998251	0	0.01147155	0	0.005900641	0	0.042593195	0	0	0	0	0
Zang_2018 TLF-12	0.138613861	0.108910891	0.01980198	0.03960396	0.366336634	0.01980198	0.148514851	0	0.00990099	0.01980198	0.108910891	0	0.01980198	0	0
Naafs_2017_Soils_China-MG3049	0.457325523	0.01636605	0.005002204	0.41773024	0	0.009898821	0	0.005219978	0	0.084469938	0.003517381	0	0.000469864	0	0
GRU37b	0.46070706	0.176738322	0.037802717	0.03022315	0.201100094	0.008637473	0.046129753	0	0	0.007120114	0.031541317	0	0	0	0
Vequaud_2021 5	0.297230453	0.021885615	0	0.392695136	0.06743372	0	0	0	0	0.208842104	0.006092178	0.003313402	0.002507392	0	0
Naafs_2017_peats 237 São João da Chapada SJ 34-36	0.829817638	0.013357292	0.02095596	0.118572164	0	0.003398157	0	0.002587236	0	0.009324079	0	0.000453822	0	0.001533649	0
Naafs_2017_peats 343 Piyashiri sent for 0	0.480446273	0.012987034	0.004487864	0.387683028	0	0.005624741	0	0.003056141	0	0.10571492	0	0	0	0	0
Wang_2020_15	0.614086975	0.120561826	0.017648504	0.130675401	0.062368539	0.011520599	0.017367869	0.00073786	0.000802727	0.014611708	0.008393064	0.000291494	0.000933434	0	0
Naafs_2017_peats 151 Nueva Alianza 60-70cm	0.835660782	0.056715095	0.01362696	0.057185985	0.02517475	0.002826688	0.006574637	0.000690063	0.000319232	0.001225808	0	0	0	0	0
